antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'bronzer stix'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'bronzer stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush stix'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'blush stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush stix'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'blotted lip'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush + ugl set'}),frozenset({'blush stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush stix'}),frozenset({'blush + ugl set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blotted lip'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'blotted lip'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'blotted lip'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blotted lip'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'blotted lip'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
