antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'underwear'}),frozenset({'promotion'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'shoes'}),frozenset({'socks'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'socks'}),frozenset({'shoes'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'shoes'}),frozenset({'underwear'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'act natural mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'act natural mascara'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome liquid shadow'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'cheek palette'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek palette'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'cheek & lip set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'chrome crème gel liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'chrome crème gel liner'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cheek & lip set'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'candy lip oil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bronzer stix'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blotted lip'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'blotted lip'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush + ugl set'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'blush + ugl set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush stix'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'blush stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'bronzer stix'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'brow boss gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'byob'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss gel'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow boss pencil'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'brow boss pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow gel'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'chrome liquid shadow'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'cleansing duo'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff mascara'}),frozenset({'cloud whip blurring liquid lipstick'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'brow gel'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'byob'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blotted lip'}),frozenset({'blush + ugl set'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'bff liquid liner'}),frozenset({'brow pencil'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'brow pencil'}),frozenset({'bff liquid liner'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'blush + ugl set'}),frozenset({'blotted lip'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'bff mascara'}),0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
frozenset({'face mist'}),frozenset({'candy lip oil'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'cheek & lip set'}),frozenset({'lip mask'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'lip mask'}),frozenset({'cheek & lip set'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'candy lip oil'}),frozenset({'lip mask'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'lip scrub'}),frozenset({'cheek & lip set'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'liquid blush'}),frozenset({'cheek & lip set'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'lip mask'}),frozenset({'candy lip oil'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'cheek & lip set'}),frozenset({'liquid blush'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'cheek & lip set'}),frozenset({'necklace'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'necklace'}),frozenset({'cheek & lip set'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'candy lip oil'}),frozenset({'face mist'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'face mask'}),frozenset({'candy lip oil'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'cheek & lip set'}),frozenset({'lip scrub'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'eye cream'}),frozenset({'candy lip oil'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'lip scrub'}),frozenset({'candy lip oil'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'candy lip oil'}),frozenset({'face mask'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'eye cream'}),frozenset({'face mist'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'face mist'}),frozenset({'eye cream'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'necklace'}),frozenset({'liquid blush'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'eye cream'}),frozenset({'face mask'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'sweaters'}),frozenset({'sweatshirts'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'sweatshirts'}),frozenset({'sweaters'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'sweaters'}),frozenset({'swim bottoms'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'swim bottoms'}),frozenset({'sweaters'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'sweatshirts'}),frozenset({'swim bottoms'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'swim bottoms'}),frozenset({'sweatshirts'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'sweaters'}),frozenset({'eyewear'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'eyewear'}),frozenset({'sweatshirts'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'liquid blush'}),frozenset({'necklace'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'candy lip oil'}),frozenset({'lip scrub'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'candy lip oil'}),frozenset({'liquid blush'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'liquid blush'}),frozenset({'candy lip oil'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'liquid blush'}),frozenset({'cloud whip blurring liquid lipstick'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'eye cream'}),frozenset({'lip mask'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'lip scrub'}),frozenset({'eye cream'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'lip scrub'}),frozenset({'necklace'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'eye cream'}),frozenset({'lip scrub'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'liquid blush'}),frozenset({'eye cream'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'eye cream'}),frozenset({'liquid blush'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'necklace'}),frozenset({'eye cream'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'eye cream'}),frozenset({'necklace'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'eyewear'}),frozenset({'jumpsuits'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'jumpsuits'}),frozenset({'eyewear'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'eyewear'}),frozenset({'sweaters'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'sweatshirts'}),frozenset({'dresses'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'dresses'}),frozenset({'swim bottoms'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'swim bottoms'}),frozenset({'dresses'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'face mask'}),frozenset({'eye cream'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'lip mask'}),frozenset({'eye cream'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'necklace'}),frozenset({'candy lip oil'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'candy lip oil'}),frozenset({'necklace'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'sweaters'}),frozenset({'dresses'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'cloud whip blurring liquid lipstick'}),frozenset({'necklace'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'necklace'}),frozenset({'cloud whip blurring liquid lipstick'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'eyewear'}),frozenset({'dresses'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'dresses'}),frozenset({'eyewear'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'dresses'}),frozenset({'jumpsuits'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'jumpsuits'}),frozenset({'dresses'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'dresses'}),frozenset({'sweaters'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'dresses'}),frozenset({'sweatshirts'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'face mist'}),frozenset({'cheek & lip set'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'cheek & lip set'}),frozenset({'face mist'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'face mask'}),frozenset({'cheek & lip set'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'cheek & lip set'}),frozenset({'face mask'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'eye cream'}),frozenset({'cheek & lip set'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'cheek & lip set'}),frozenset({'eye cream'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'necklace'}),frozenset({'lip scrub'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'lip mask'}),frozenset({'cheek palette'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'lip scrub'}),frozenset({'liquid blush'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'lip mask'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'face mist'}),frozenset({'liquid blush'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'face mist'}),frozenset({'necklace'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'necklace'}),frozenset({'face mist'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'sweaters'}),frozenset({'jumpsuits'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'jumpsuits'}),frozenset({'sweaters'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'sweatshirts'}),frozenset({'jumpsuits'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'jumpsuits'}),frozenset({'sweatshirts'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'eye cream'}),frozenset({'chrome liquid shadow'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'chrome liquid shadow'}),frozenset({'eye cream'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'swim bottoms'}),frozenset({'jumpsuits'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'lip scrub'}),frozenset({'cleansing duo'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'liquid blush'}),frozenset({'face mask'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'cleansing duo'}),frozenset({'lip scrub'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'chrome crème gel liner'}),frozenset({'necklace'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'necklace'}),frozenset({'chrome crème gel liner'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'chrome crème gel liner'}),frozenset({'liquid blush'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'liquid blush'}),frozenset({'chrome crème gel liner'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'chrome crème gel liner'}),frozenset({'lip scrub'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'liquid blush'}),frozenset({'cleansing duo'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'chrome crème gel liner'}),frozenset({'lip mask'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'lip mask'}),frozenset({'chrome crème gel liner'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'face mask'}),frozenset({'necklace'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'liquid blush'}),frozenset({'face mist'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'face mist'}),frozenset({'lip scrub'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'lip scrub'}),frozenset({'face mist'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'face mist'}),frozenset({'lip mask'}),0.25,0.25,0.25,1.0,4.0,1.0,0.1875,inf,1.0,1.0,1.0,1.0
frozenset({'necklace'}),frozenset({'chrome liquid shadow'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'chrome liquid shadow'}),frozenset({'necklace'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'chrome liquid shadow'}),frozenset({'liquid blush'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'liquid blush'}),frozenset({'chrome liquid shadow'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'chrome liquid shadow'}),frozenset({'lip scrub'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'lip scrub'}),frozenset({'chrome liquid shadow'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
frozenset({'chrome liquid shadow'}),frozenset({'lip mask'}),0.125,0.25,0.125,1.0,4.0,1.0,0.09375,inf,0.8571428571428571,0.5,1.0,0.75
frozenset({'lip mask'}),frozenset({'chrome liquid shadow'}),0.25,0.125,0.125,0.5,4.0,1.0,0.09375,1.75,1.0,0.5,0.42857142857142855,0.75
